Time [s],DIO1,DIO2,DIO3,DIO4,DIO5,DIO6,DIO7,DIO8,SRQ,NDAC,ATN,NRFD,DAV,EOI
0.000000000,1,1,1,1,1,1,0,1,1,1,1,1,1,1
9.168736500,1,1,1,1,1,1,0,0,1,1,1,1,1,1
9.168736625,1,1,1,1,1,1,0,1,1,1,1,1,1,1
9.168736687,1,1,1,1,1,1,0,0,1,1,1,1,1,1
9.168737438,1,1,1,1,1,1,0,1,1,1,1,1,1,1
9.168737500,1,1,1,1,1,1,0,0,1,1,1,1,1,1
9.168738250,1,1,1,1,1,0,0,0,1,1,1,1,1,1
9.168738438,1,1,1,1,1,1,0,0,1,1,1,1,1,1
9.168738500,1,1,1,1,1,1,0,1,1,1,1,1,1,1
9.168738750,1,1,1,1,1,1,0,0,1,1,1,1,1,1
9.168738875,1,1,1,1,1,0,0,0,1,1,1,1,1,1
9.168739063,1,1,1,1,1,1,0,0,1,1,1,1,1,1
9.168739187,1,1,1,1,1,1,0,1,1,1,1,1,1,1
9.168739375,1,1,1,1,1,1,0,0,1,1,1,1,1,1
9.168739875,1,1,1,1,1,1,0,1,1,1,1,1,1,1
9.168739937,1,1,1,1,1,1,0,0,1,1,1,1,1,1
9.168744250,1,1,1,1,1,1,0,1,1,1,1,1,1,1
9.168744500,1,1,1,1,1,1,0,0,1,1,1,1,1,1
9.168744625,1,1,1,1,1,0,0,0,1,1,1,1,1,1
9.168744688,0,1,0,0,0,0,0,0,1,1,1,1,1,1
9.168744750,0,0,0,0,0,0,0,0,1,1,1,1,1,1
9.168744812,0,1,1,1,0,0,0,0,1,1,1,1,1,1
9.168744875,1,1,1,1,1,0,0,0,1,1,1,1,1,1
9.168744937,1,1,1,1,1,1,0,1,1,1,1,1,1,1
9.168745125,1,1,1,1,1,1,0,0,1,1,1,1,1,1
9.168745188,1,1,1,1,1,0,0,0,1,1,1,1,1,1
9.168745375,1,1,1,1,1,1,0,0,1,1,1,1,1,1
9.168745687,1,1,1,1,1,0,0,0,1,1,1,1,1,1
9.168746000,1,1,1,1,1,1,0,0,1,1,1,1,1,1
9.168746312,1,1,1,1,1,0,0,0,1,1,1,1,1,1
9.168746750,1,1,1,1,1,1,0,0,1,1,1,1,1,1
9.168746813,1,1,1,1,1,0,0,0,1,1,1,1,1,1
9.168748375,1,1,1,1,0,0,0,0,1,1,1,1,1,1
9.168748437,1,1,1,1,1,0,0,0,1,1,1,1,1,1
9.168748625,1,1,1,1,0,0,0,0,1,1,1,1,1,1
9.168749500,0,1,1,1,0,0,0,0,1,1,1,1,1,1
9.168749563,1,1,1,1,0,0,0,0,1,1,1,1,1,1
9.168749625,0,1,1,1,0,0,0,0,1,1,1,1,1,1
9.168750250,0,1,1,0,0,0,0,0,1,1,1,1,1,1
9.168750313,0,1,1,1,0,0,0,0,1,1,1,1,1,1
9.168750500,0,1,1,0,0,0,0,0,1,1,1,1,1,1
9.168751375,0,1,0,0,0,0,0,0,1,1,1,1,1,1
9.168751937,0,0,0,0,0,0,0,0,1,1,1,1,1,1
9.168765813,0,0,0,0,0,0,0,0,1,1,1,1,0,1
9.168765875,0,0,0,0,0,0,0,0,1,1,1,1,1,1
9.168766687,0,0,0,0,0,0,0,0,0,1,1,1,1,1
9.168766750,0,0,0,0,0,0,0,0,0,0,1,1,0,1
9.168766812,0,0,0,0,0,0,0,0,1,1,1,1,1,1
9.168766937,0,0,0,0,0,0,0,0,0,0,1,1,1,1
9.168767000,0,0,0,0,0,0,0,0,0,1,1,1,1,1
9.168767063,0,0,0,0,0,0,0,0,0,0,1,1,1,1
9.168767188,0,0,0,0,0,0,0,0,0,0,1,0,0,1
9.168767250,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9.168767437,0,0,0,0,0,0,0,0,0,0,1,0,0,1
9.168767500,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9.168767625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.174057687,1,0,0,1,1,0,0,0,0,0,0,0,0,0
9.174057750,1,1,1,1,1,0,0,0,0,0,0,0,0,0
9.174057812,1,0,0,0,1,0,0,0,0,0,0,0,0,0
9.174057875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.174064562,1,1,1,1,1,0,0,0,0,0,0,0,0,0
9.174064750,0,0,0,0,0,0,0,0,0,0,0,0,0,0
