Time [s],DIO1,DIO2,DIO3,DIO4,DIO5,DIO6,DIO7,DIO8,SRQ,NDAC,ATN,NRFD,DAV,EOI
0.000000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.555846000,1,1,1,1,1,1,1,0,1,1,1,1,1,1
3.555846063,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.555846125,1,1,1,1,1,1,1,0,1,1,1,1,1,1
3.555846250,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.555846312,1,1,1,1,1,1,1,0,1,1,1,1,1,1
3.555846938,1,1,1,1,1,0,1,0,1,1,1,1,1,1
3.555849875,1,1,1,1,0,0,1,0,1,1,1,1,1,1
3.555849938,1,1,1,1,1,0,1,0,1,1,1,1,1,1
3.555850000,1,1,1,1,0,0,1,0,1,1,1,1,1,1
3.555851688,0,1,1,1,0,0,1,0,1,1,1,1,1,1
3.555852625,0,1,1,0,0,0,1,0,1,1,1,1,1,1
3.555852687,0,1,1,1,0,0,1,0,1,1,1,1,1,1
3.555852750,0,1,1,0,0,0,1,0,1,1,1,1,1,1
3.555852812,0,1,1,1,0,0,1,0,1,1,1,1,1,1
3.555852875,0,1,1,0,0,0,1,0,1,1,1,1,1,1
3.555854188,0,1,0,0,0,0,1,0,1,1,1,1,1,1
3.555854937,0,0,0,0,0,0,1,0,1,1,1,1,1,1
3.555855000,0,1,0,0,0,0,1,0,1,1,1,1,1,1
3.555855063,0,0,0,0,0,0,1,0,1,1,1,1,1,1
3.555855125,0,1,0,0,0,0,1,0,1,1,1,1,1,1
3.555855188,0,0,0,0,0,0,1,0,1,1,1,1,1,1
3.555855250,0,1,0,0,0,0,1,0,1,1,1,1,1,1
3.555855312,0,0,0,0,0,0,1,0,1,1,1,1,1,1
3.555862375,0,1,1,0,0,0,1,0,1,1,1,1,1,1
3.555862438,0,0,0,0,0,0,1,0,1,1,1,1,1,1
3.555868125,0,1,1,0,0,0,1,0,1,1,1,1,1,1
3.555868188,0,0,0,0,0,0,1,0,1,1,1,1,1,1
3.555868812,0,1,1,0,0,0,1,0,1,1,1,1,1,1
3.555868875,0,0,0,0,0,0,1,0,1,1,1,1,1,1
3.555882875,0,0,0,0,0,0,1,0,1,1,1,0,1,1
3.555882937,0,0,0,0,0,0,1,0,1,1,1,1,1,1
3.555883000,0,0,0,0,0,0,1,0,1,1,1,0,1,1
3.555883250,0,0,0,0,0,0,1,0,1,1,1,1,1,1
3.555883312,0,0,0,0,0,0,1,0,1,1,1,0,1,1
3.556981562,0,0,0,0,0,0,1,0,0,1,1,0,1,1
3.556981625,0,0,0,0,0,0,1,0,1,1,1,0,1,1
3.557108813,0,0,0,0,0,0,1,0,0,1,1,0,1,1
3.557108875,0,0,0,0,0,0,1,0,1,1,1,0,1,1
3.557171250,0,0,0,0,0,0,1,0,0,1,1,0,1,1
3.557171312,0,0,0,0,0,0,1,0,1,1,1,0,1,1
3.557232937,0,0,0,0,0,0,1,0,0,1,1,0,1,1
3.557233062,0,0,0,0,0,0,1,0,1,1,1,0,1,1
3.557293937,0,0,0,0,0,0,1,0,0,1,1,0,1,1
3.557294063,0,0,0,0,0,0,1,0,1,1,1,0,1,1
3.557354312,0,0,0,0,0,0,1,0,0,1,1,0,1,1
3.557354375,0,0,0,0,0,0,1,0,1,1,1,0,1,1
3.557413937,0,0,0,0,0,0,1,0,0,1,1,0,1,1
3.557414062,0,0,0,0,0,0,1,0,1,1,1,0,1,1
3.557473000,0,0,0,0,0,0,1,0,0,1,1,0,1,1
3.557473125,0,0,0,0,0,0,1,0,1,1,1,0,1,1
3.557531500,0,0,0,0,0,0,1,0,0,1,1,0,1,1
3.557531625,0,0,0,0,0,0,1,0,1,1,1,0,1,1
3.557589437,0,0,0,0,0,0,1,0,0,1,1,0,1,1
3.557589563,0,0,0,0,0,0,1,0,1,1,1,0,1,1
3.557646812,0,0,0,0,0,0,1,0,0,1,1,0,1,1
3.557646937,0,0,0,0,0,0,1,0,1,1,1,0,1,1
3.557703688,0,0,0,0,0,0,1,0,0,1,1,0,0,1
3.557703750,0,0,0,0,0,0,1,0,0,1,1,0,1,1
3.557703812,0,0,0,0,0,0,1,0,1,1,1,0,1,1
3.557760062,0,0,0,0,0,0,1,0,0,1,1,0,1,1
3.557760125,0,0,0,0,0,0,1,0,0,0,1,0,1,1
3.557760188,0,0,0,0,0,0,1,0,0,1,1,0,1,1
3.557760250,0,0,0,0,0,0,1,0,1,1,1,0,1,1
3.557816000,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3.557816063,0,0,0,0,0,0,1,0,0,0,1,0,1,1
3.557816125,0,0,0,0,0,0,1,0,1,1,1,0,1,1
3.557871437,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3.557871500,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3.557871562,0,0,0,0,0,0,1,0,0,1,1,0,1,1
