Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,SRQ,NDAC,ATN,NRFD,DAV,EOI
0.000000000,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1.396434125,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.396434187,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1.396434250,1,1,0,0,0,0,1,1,1,1,1,1,1,1
1.396434313,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1.397651563,1,1,1,1,1,0,1,0,1,1,0,1,0,0
1.397651625,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1.399067188,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.399067250,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1.400320500,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.400320562,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1.492998438,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.492998562,1,0,0,0,0,0,1,0,0,1,0,1,0,0
1.492998625,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1.708198375,1,1,0,0,0,0,0,0,0,1,0,1,0,0
1.708202375,1,1,1,0,0,0,0,0,0,1,0,1,0,0
1.708204750,1,1,1,1,0,0,0,0,0,1,0,1,0,0
1.708209250,1,1,1,1,1,0,0,0,0,1,0,1,0,0
1.708213063,1,1,1,1,1,1,0,0,0,1,0,1,0,0
1.708217687,1,1,1,1,1,1,1,0,0,1,0,1,0,0
1.708221250,1,1,1,1,1,1,1,1,0,1,0,1,0,0
1.708226063,1,1,1,1,1,1,1,1,0,1,0,1,0,1
1.708226125,1,1,1,1,1,1,1,1,0,1,0,1,0,0
1.708226187,1,1,1,1,1,1,1,1,0,1,0,1,0,1
1.708229750,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1.708233312,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1.708248000,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.563206688,1,1,1,1,0,0,0,0,1,1,1,1,1,1
3.563206750,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.563206937,0,0,0,0,0,0,0,0,1,1,1,1,1,1
3.563207000,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.563221625,1,1,1,1,1,1,1,0,1,1,1,1,1,1
3.563221813,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.563222125,1,1,1,1,0,0,0,0,1,1,1,1,1,1
3.563222188,0,0,0,0,0,0,0,0,1,1,1,1,1,1
3.563222250,1,1,1,1,1,0,1,0,1,1,1,1,1,1
3.563222313,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.563222437,1,1,1,1,1,1,1,0,1,1,1,1,1,1
3.563222500,1,1,1,1,1,0,0,0,1,1,1,1,1,1
3.563222563,1,1,1,1,0,0,0,0,1,1,1,1,1,1
3.563222625,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.563222750,1,1,1,1,1,1,1,0,1,1,1,1,1,1
3.563222812,1,1,1,1,1,0,0,0,1,1,1,1,1,1
3.563222875,1,1,1,1,0,0,0,0,1,1,1,1,1,1
3.563222937,1,1,1,1,1,0,1,0,1,1,1,1,1,1
3.563223000,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.563223125,1,1,1,1,1,1,1,0,1,1,1,1,1,1
3.563223188,1,1,1,1,1,0,0,0,1,1,1,1,1,1
3.563223250,1,1,1,1,1,0,1,0,1,1,1,1,1,1
3.563223312,1,1,1,1,1,1,1,0,1,1,1,1,1,1
3.563223375,0,0,0,0,0,0,0,0,1,1,1,1,1,1
3.563223500,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.563223687,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3.563223750,0,0,0,0,0,0,0,0,1,1,1,1,1,1
3.563223812,1,1,1,1,1,0,1,0,1,1,1,1,1,1
3.563223875,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.563224000,0,0,0,0,0,0,0,0,1,1,1,1,1,1
3.563224125,0,1,1,1,0,0,0,0,1,1,1,1,1,1
3.563224187,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.563224313,1,1,1,1,1,0,0,0,1,1,1,1,1,1
3.563224375,0,0,0,0,0,0,0,0,1,1,1,1,1,1
3.563224500,1,1,1,1,0,0,0,0,1,1,1,1,1,1
3.563224562,1,1,1,1,1,1,1,0,1,1,1,1,1,1
3.563224625,1,1,1,1,0,0,0,0,1,1,1,1,1,1
3.563224687,0,0,0,0,0,0,0,0,1,1,1,1,1,1
3.563224750,0,1,1,0,0,0,0,0,1,1,1,1,1,1
3.563224813,1,1,1,1,0,0,0,0,1,1,1,1,1,1
3.563224875,1,1,1,1,1,1,1,0,1,1,1,1,1,1
3.563224937,1,1,1,1,1,0,0,0,1,1,1,1,1,1
3.563225062,0,1,1,1,0,0,0,0,1,1,1,1,1,1
3.563225125,1,1,1,1,1,0,0,0,1,1,1,1,1,1
3.563225188,1,1,1,1,0,0,0,0,1,1,1,1,1,1
3.563225250,1,1,1,1,1,0,0,0,1,1,1,1,1,1
3.563225313,1,1,1,1,0,0,0,0,1,1,1,1,1,1
3.563225437,0,1,1,1,0,0,0,0,1,1,1,1,1,1
3.563225562,1,1,1,1,0,0,0,0,1,1,1,1,1,1
