Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,SRQ,NDAC,ATN,NRFD,DAV,EOI
0.000000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140643750,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.140643875,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140644125,1,1,0,1,1,1,0,1,1,1,1,1,1,1
4.140644188,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140653375,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.140653438,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140653813,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.140653937,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140654188,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.140654250,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140654500,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.140654625,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140654813,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.140655000,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140655062,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.140662312,1,1,1,1,1,1,1,1,0,1,0,1,1,1
4.140662375,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.140664500,1,1,1,1,1,1,1,1,1,0,0,1,1,1
4.140664562,1,1,1,1,1,1,1,1,0,0,0,1,1,1
4.140665500,1,1,1,1,1,1,1,1,1,0,0,1,1,1
4.140665562,1,1,1,1,1,1,1,1,0,0,0,1,1,1
4.140667375,1,1,1,1,1,1,1,1,1,0,0,1,1,1
4.140667563,1,1,1,1,1,1,1,1,0,0,0,1,1,1
4.140667750,1,1,1,1,1,1,1,1,1,0,0,1,1,1
4.140680312,1,1,1,1,1,1,1,1,1,0,1,1,1,1
4.140680438,1,1,1,1,1,1,1,1,1,0,0,1,1,1
4.140680563,1,1,1,1,1,1,1,1,1,0,1,1,1,1
4.140709000,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140709063,1,1,1,1,1,1,1,1,1,0,1,1,1,1
4.140709313,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140709375,1,1,1,1,1,1,1,1,1,0,1,1,1,1
4.140709625,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140709750,1,1,1,1,1,1,1,1,1,0,1,1,1,1
4.140709937,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140710125,1,1,1,1,1,1,1,1,1,0,1,1,1,1
4.140710375,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140710562,1,1,1,1,1,1,1,1,1,0,1,1,1,1
4.140710688,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140710875,1,1,1,1,1,1,1,1,1,0,1,1,1,1
4.140711000,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140711188,1,1,1,1,1,1,1,1,1,0,1,1,1,1
4.140711375,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140711562,1,1,1,1,1,1,1,1,1,0,1,1,1,1
4.140711625,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140719687,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.140724937,1,1,1,1,1,1,1,1,0,0,0,1,1,1
4.140725000,1,1,1,1,1,1,1,1,1,0,0,1,1,1
4.140725188,1,1,1,1,1,1,1,1,0,0,0,1,1,1
4.140725250,1,1,1,1,1,1,1,1,1,0,0,1,1,1
4.140726313,1,1,1,1,1,1,1,1,0,0,0,1,1,1
4.140726375,1,1,1,1,1,1,1,1,1,0,0,1,1,1
4.140726563,1,1,1,1,1,1,1,1,0,0,0,1,1,1
4.140726750,1,1,1,1,1,1,1,1,1,0,0,1,1,1
4.140726938,1,1,1,1,1,1,1,1,0,0,0,1,1,1
4.140727062,1,1,1,1,1,1,1,1,1,0,0,1,1,1
4.140727250,1,1,1,1,1,1,1,1,0,0,0,1,1,1
4.140727313,1,1,1,1,1,1,1,1,1,0,0,1,1,1
4.140727625,1,1,1,1,1,1,1,1,0,0,0,1,1,1
4.140727688,1,1,1,1,1,1,1,1,1,0,0,1,1,1
4.140740625,1,1,1,1,1,1,1,1,1,0,1,1,1,1
4.140740875,1,1,1,1,1,1,1,1,1,0,0,1,1,1
4.140741000,1,1,1,1,1,1,1,1,1,0,1,1,1,1
4.140742375,1,1,1,1,1,1,1,1,1,0,0,1,1,1
4.140742438,1,1,1,1,1,1,1,1,1,0,1,1,1,1
4.140742625,1,1,1,1,1,1,1,1,1,0,0,1,1,1
4.140742688,1,1,1,1,1,1,1,1,1,0,1,1,1,1
4.140748875,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140787125,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.140793750,1,1,1,1,1,1,1,1,1,0,0,1,1,1
4.140802938,1,1,1,1,1,1,1,1,1,0,1,1,1,1
4.140812000,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140854375,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.140854437,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140854625,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.140854812,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140854938,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.140855125,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140855313,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.140855437,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140855625,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.140855750,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140855937,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.140856125,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140856250,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.140856500,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140856562,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.140864000,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140918125,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.140918187,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.140918375,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.140918437,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.141249875,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4.141249937,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.379222125,1,1,1,1,1,1,1,0,1,1,1,1,1,1
4.379222187,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.379222250,1,1,1,1,1,1,1,0,1,1,1,1,1,1
4.379222312,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.379223500,0,1,1,0,0,0,0,0,1,1,1,1,1,1
4.379223562,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.379223625,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4.379223687,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.379223750,1,1,1,1,1,0,1,0,1,1,1,1,1,1
4.379223813,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.379223875,1,1,1,1,1,1,1,0,1,1,1,1,1,1
4.379224000,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.379224062,1,1,1,1,1,0,0,0,1,1,1,1,1,1
4.379224125,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.379224188,1,1,1,1,1,1,1,0,1,1,1,1,1,1
4.379224312,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.379224375,1,1,1,1,1,0,1,0,1,1,1,1,1,1
4.379224437,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.379224500,1,1,1,1,1,1,1,0,1,1,1,1,1,1
4.379225313,1,1,1,1,1,0,1,0,1,1,1,1,1,1
4.379226187,1,1,1,1,1,0,0,0,1,1,1,1,1,1
4.379226250,1,1,1,1,1,0,1,0,1,1,1,1,1,1
4.379226437,1,1,1,1,1,0,0,0,1,1,1,1,1,1
4.379226625,1,1,1,1,1,0,1,0,1,1,1,1,1,1
4.379226688,1,1,1,1,1,0,0,0,1,1,1,1,1,1
4.379226750,1,1,1,1,1,0,1,0,1,1,1,1,1,1
4.379226812,1,1,1,1,1,0,0,0,1,1,1,1,1,1
4.379227688,1,1,1,1,0,0,0,0,1,1,1,1,1,1
4.379227750,1,1,1,1,1,0,0,0,1,1,1,1,1,1
4.379227937,1,1,1,1,0,0,0,0,1,1,1,1,1,1
4.379229188,0,1,1,1,0,0,0,0,1,1,1,1,1,1
4.379229687,0,1,1,0,0,0,0,0,1,1,1,1,1,1
